date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2012/3/13,2653.681,2681.334,2649.169,2681.073,2654.402,5840446900,66429764308,3,0.003694,1,1.00478,0
2012/3/14,2694.475,2705.754,2595.342,2605.106,2681.073,10842654000,1.1708E+11,3,0.006859,1,-2.833457,0
2012/3/15,2602.661,2618.252,2575.437,2585.546,2605.106,7256596000,77042766482,3,0.00459,1,-0.750835,0
2012/3/16,2591.8,2624.316,2577.245,2623.52,2585.546,5809125900,67451822278,3,0.003675,1,1.468708,0
2012/3/19,2617.662,2631.045,2598.63,2630.013,2623.52,5764662500,68803937996,3,0.003647,1,0.247489,0
2012/3/20,2622.66,2622.66,2584.024,2584.445,2630.013,5811406500,64263817216,3,0.003676,1,-1.73261,0
2012/3/21,2597.375,2613.269,2569.075,2587.793,2584.445,5800254400,66674920148,3,0.003669,1,0.12954,0
2012/3/22,2586.938,2599.244,2570.446,2583.747,2587.793,4492677700,50115505934,3,0.002842,1,-0.156345,0
2012/3/23,2575.327,2578.825,2544.525,2552.94,2583.747,4332925600,47812442986,3,0.002741,1,-1.192343,0
2012/3/26,2551.425,2562.929,2540.696,2555.442,2552.94,3181621100,36356133943,3,0.002012,1,0.098003,0
2012/3/27,2565.551,2571.899,2544.373,2547.143,2555.442,3594460400,47394454857,3,0.002272,1,-0.324751,0
2012/3/28,2538.458,2540.417,2471.034,2474.9,2547.143,5000579000,54993640999,3,0.00316,1,-2.836243,0
2012/3/29,2463.688,2476.478,2429.732,2443.122,2474.9,4613130400,48651595893,3,0.002915,1,-1.284005,0
2012/3/30,2447.939,2461.977,2438.488,2454.899,2443.122,3702708600,39139734882,3,0.00234,1,0.482041,0
2012/4/5,2449.208,2517.386,2441.269,2512.832,2454.899,5433168700,58049690964,3,0.003432,1,2.359898,0
2012/4/6,2509.445,2525.534,2502.703,2519.83,2512.832,4236857600,47207795088,3,0.002677,1,0.278492,0
